entry_ts,exit_ts,direction,gross_return,net_return,hold_bars,regime,confidence,conviction
1701389340000,1701390240000,SHORT,0.0012212056958682915,-0.0009787943041317086,12,BEAR,0.9999998220013602,0.9999973199136324
1701389460000,1701390300000,SHORT,5.674314955423329e-05,-0.002143256850445767,12,BEAR,0.9999999994469747,0.9999999887599408
1701389520000,1701390420000,SHORT,0.00011606523381986159,-0.0020839347661801384,12,BEAR,0.9999999999979748,0.9999999999472482
1701389640000,1701390480000,SHORT,2.5795268117518277e-06,-0.0021974204731882484,12,BEAR,0.9999999999744501,0.9999999994056513
1701389700000,1701390540000,SHORT,-0.00032244168319717697,-0.002522441683197177,12,BEAR,0.9999999149973554,0.9999986629426082
1701389820000,1701390600000,SHORT,0.0002631117347834839,-0.0019368882652165162,12,BEAR,0.9999999585900451,0.9999993215256402
1701389880000,1701390720000,SHORT,-0.00011349947248544384,-0.002313499472485444,12,BEAR,0.9999999051974211,0.9999985182105995
1701389940000,1701390840000,SHORT,-0.0002244194115053478,-0.0024244194115053477,12,BEAR,0.9999999993192134,0.9999999862934298
1701390000000,1701391140000,SHORT,-0.00014444232366425785,-0.002344442323664258,12,BEAR,0.9999999996774149,0.9999999932830246
1701399420000,1701400320000,SHORT,0.0006105458381977263,-0.001589454161802274,12,BEAR,0.9999999999979706,0.9999999999471378
1701399540000,1701400380000,SHORT,0.00010734687096643084,-0.0020926531290335693,12,BEAR,0.9999999999949513,0.9999999998735694
1701422100000,1701422820000,SHORT,-0.0032625193507233884,-0.005462519350723389,12,BEAR,0.9999995676906536,0.9999938400122185
1701422220000,1701422940000,SHORT,-0.0005400924437299036,-0.002740092443729904,12,BEAR,0.9999999906625568,0.9999998343456361
1701422340000,1701423060000,SHORT,-0.0025100439446132414,-0.0047100439446132415,12,BEAR,0.9595660060288607,0.8458774203792541
1701422460000,1701423180000,SHORT,-0.0008205339241847824,-0.0030205339241847827,12,BEAR,0.9999999999979606,0.9999999999468877
1701422880000,1701423600000,SHORT,-0.0017651673640168462,-0.0039651673640168465,12,BEAR,0.9999999999090511,0.9999999979981021
1701422940000,1701423660000,SHORT,-0.00031383773333835475,-0.002513837733338355,12,BEAR,0.9999999999793656,0.9999999995154242
1701424620000,1701425340000,SHORT,0.0010417684018621245,-0.0011582315981378756,12,BEAR,0.9999999331465482,0.9999989338043357
1701424680000,1701425400000,SHORT,0.0003281283658205099,-0.0018718716341794902,12,BEAR,0.9999999999937607,0.9999999998452859
1701424740000,1701425460000,SHORT,0.0008264524902516173,-0.001373547509748383,12,BEAR,0.9999999981929949,0.9999999652348447
1701424860000,1701425580000,SHORT,0.0044529643163799745,0.0022529643163799744,12,BEAR,0.9999999982420259,0.9999999661338471
1701424920000,1701425640000,SHORT,0.004040489750283295,0.001840489750283295,12,BEAR,0.9999999999979429,0.9999999999464425
1701424980000,1701425700000,SHORT,0.0029434419014083783,0.0007434419014083781,12,BEAR,0.9999999643825379,0.9999994115450042
1701425040000,1701425760000,SHORT,0.005435528934142071,0.003235528934142071,12,BEAR,0.9999800842188404,0.9997856532454101
1701425100000,1701425820000,SHORT,0.004375,0.0021750000000000003,12,BEAR,0.9999999999876922,0.9999999997041881
1701425160000,1701425880000,SHORT,0.003745262130821408,0.001545262130821408,12,BEAR,0.9999999181086423,0.9999987091019374
1701425220000,1701425940000,SHORT,0.001603077909586406,-0.0005969220904135941,12,BEAR,0.9999999989710717,0.9999999796740512
1701425280000,1701426000000,SHORT,0.0018744001543622563,-0.00032559984563774384,12,BEAR,0.9999999402688695,0.9999990412671114
1701425340000,1701426060000,SHORT,0.0020656547298229266,-0.00013434527017707355,12,BEAR,0.9999999982167962,0.9999999656711395
1701425400000,1701426120000,SHORT,0.002242528870993202,4.252887099320205e-05,12,BEAR,0.9999999996568559,0.9999999928745567
1701425460000,1701426180000,SHORT,0.0002982702830057168,-0.0019017297169942834,12,BEAR,0.9999999999979885,0.9999999999475911
1701437100000,1701437940000,SHORT,0.0010493232369603565,-0.0011506767630396436,12,BEAR,0.999999999997959,0.9999999999468472
1701448020000,1701448740000,SHORT,-0.0019206306279234424,-0.0041206306279234425,12,BEAR,0.9999999999979737,0.999999999947216
1701448080000,1701448800000,SHORT,-0.00028769851197326155,-0.0024876985119732615,12,BEAR,0.9999999999796201,0.9999999995211486
1701448140000,1701448860000,SHORT,-0.0001925987068371813,-0.0023925987068371814,12,BEAR,0.9999999997925085,0.9999999955943791
1701448200000,1701448920000,SHORT,-0.0024886781434912903,-0.00468867814349129,12,BEAR,0.9263626448239478,0.7606547566970867
1701448260000,1701448980000,SHORT,0.0011926043528808043,-0.0010073956471191958,12,BEAR,0.9974198215269283,0.9836571606389178
1701448320000,1701449040000,SHORT,3.252081332059794e-05,-0.0021674791866794023,12,BEAR,0.9999999999831325,0.9999999996003037
1701448680000,1701449400000,SHORT,-0.0009600000000000363,-0.0031600000000000365,12,BEAR,0.9999999999684439,0.9999999992726879
1701448800000,1701449520000,SHORT,0.00011754731279350852,-0.0020824526872064916,12,BEAR,0.9999993514048723,0.9999909976527876
1701449280000,1701450000000,SHORT,-0.0008645849992005293,-0.0030645849992005296,12,BEAR,0.9999998520839288,0.9999977479324889
1701449340000,1701450060000,SHORT,0.0008663953459338616,-0.0013336046540661384,12,BEAR,0.9999986586494041,0.9999822695553363
1701542280000,1701543060000,SHORT,-0.0023255872107707195,-0.00452558721077072,12,BEAR,0.9999999100580043,0.9999985898732657
1701542340000,1701543120000,SHORT,-0.000716546992500084,-0.002916546992500084,12,BEAR,0.999998392903767,0.9999790212501654
1701542460000,1701543300000,SHORT,-0.0011627121949755832,-0.0033627121949755833,12,BEAR,0.9999999998236423,0.9999999962286116
1701545100000,1701545820000,SHORT,0.0015308944374209862,-0.0006691055625790139,12,BEAR,0.9999999999137785,0.9999999980977686
1701545220000,1701545940000,SHORT,0.0012654886685726037,-0.0009345113314273964,12,BEAR,0.9999999988185266,0.9999999768101914
1701545700000,1701546480000,SHORT,-0.001230854405742082,-0.003430854405742082,12,BEAR,0.9999999994241745,0.999999988317951
1701545760000,1701546540000,SHORT,-0.0025927758535379247,-0.004792775853537925,12,BEAR,0.9999999948761439,0.9999999062957972
1701609120000,1701609840000,SHORT,0.0014339899669643594,-0.0007660100330356408,12,BEAR,0.9999999999979559,0.9999999999467671
1701609240000,1701609960000,SHORT,-0.0015688735487919675,-0.0037688735487919674,12,BEAR,0.9999999984875672,0.9999999706560366
