i,timestamp_ms,close,log_return,regime_label,signal_valid,confidence,conviction,position_size,signed_position_size,execution_side,engine_status,expected_volatility,edge_score,prob_bull,prob_bear,prob_crisis
33,1701391680000,38782.7,0.0,BEAR,True,0.9999999999979889,0.9999999999475999,0.0,0.0,flat,OK,0.01127887504015395,0.11208502267581949,1.0027626755660454e-12,0.9999999999979889,1.0082880266961468e-12
34,1701391740000,38782.7,0.0,BEAR,True,0.9999999999979916,0.9999999999476694,0.0,0.0,flat,OK,0.011222189620922468,0.10966801814065563,1.0020705765916947e-12,0.9999999999979917,1.0062117297730939e-12
35,1701391800000,38782.7,0.0,BEAR,True,0.9999999999979938,0.9999999999477217,0.0,0.0,flat,OK,0.011171703886206516,0.10773441451252452,1.001552128993281e-12,0.9999999999979938,1.0046563869787468e-12
36,1701391860000,38782.7,0.0,BEAR,True,0.9999999999979954,0.9999999999477608,0.0,0.0,flat,OK,0.011126735423093006,0.10618753161001965,1.0011636452130925e-12,0.9999999999979954,1.0034909356373701e-12
37,1701391920000,38782.6,-2.578472590136827e-06,BEAR,True,0.999999961694946,0.9999993696791566,0.0,0.0,flat,OK,0.011086675883556047,0.10495002528801572,1.0008724950062733e-12,0.999999961694946,3.830405319400143e-08
38,1701392040000,38782.7,2.57847259007549e-06,BEAR,True,0.9999999999979974,0.999999999947812,0.0,0.0,flat,OK,0.011050983370570963,0.10396002023041262,1.0006542398803768e-12,0.9999999999979974,1.0019627196393854e-12
39,1701392400000,38801.6,0.000487211984225333,BEAR,True,0.9999999999979854,0.999999999947509,0.0,0.0,flat,OK,0.011019734802346217,0.10316801618433014,1.0036674912242493e-12,0.9999999999979854,1.0110024736707709e-12
40,1701392460000,38782.7,-0.000487211984225363,BEAR,True,0.9999999999979854,0.999999999947509,0.0,0.0,flat,OK,0.010991881064265917,0.10253441294746413,1.0036674912242495e-12,0.9999999999979854,1.011002473670799e-12
41,1701392520000,38780.1,-6.704244820901267e-05,BEAR,True,0.9999998943915012,0.9999983596887801,0.0,0.0,flat,OK,0.010966499496402007,0.10202753035797135,1.0027493295335632e-12,0.9999998943915012,1.0560749606449108e-07
42,1701392580000,38780.1,0.0,BEAR,True,0.9999999253104541,0.9999988163688871,0.0,0.0,flat,OK,0.010943857504096736,0.10162202428637712,1.002060581035246e-12,0.9999999253104541,7.468854381133048e-08
43,1701392760000,38795.6,0.00039960967690314214,BEAR,True,0.999999859122484,0.9999978488443397,0.0,0.0,flat,OK,0.010924039878802711,0.1012976194291017,1.0030060807598754e-12,0.999999859122484,1.4087651307836056e-07
