entry_i,exit_i,direction,entry_p,exit_p,gross,net,pnl_amount,held_bars,balance_after,entry_conviction,regime
3596,3608,-1,42802.65535,42690.50330999999,0.0026202122060637093,0.0010202122060637092,9.283504561620566,12,9108.8654409895,0.5760781250311285,toxic
3617,3629,-1,42790.359039999996,42905.66784,-0.0026947378471916224,-0.004294737847191622,-39.120189154393415,12,9069.745251835107,0.4,range
3677,3678,-1,42778.1627,42892.864,-0.002681304964039529,-0.004281304964039529,-38.830345369255596,1,9030.914906465852,1.0,trend
3679,3680,1,42905.66784,42867.136,-0.0008980594392259036,-0.0024980594392259034,-22.55976222694294,1,9008.355144238909,0.6,trend
3685,3686,1,42943.679240000005,42871.23477,-0.0016869646775054055,-0.003286964677505406,-29.61014516153741,1,8978.744999077371,0.4,range
3687,3691,-1,42827.148,42841.64864,-0.00033858523570139164,-0.0019385852357013916,-17.406062490339096,4,8961.338936587032,0.4,range
3698,3710,-1,42830.24707,43001.8967,-0.00400767312220877,-0.00560767312220877,-50.25225949370201,12,8911.08667709333,0.4,range
3815,3827,-1,43087.66982,43120.53228,-0.0007626882617992695,-0.0023626882617992697,-21.05411989184427,12,8890.032557201486,1.0,range
3842,3854,-1,43020.68992,43046.51008,-0.0006001800540162733,-0.0022001800540162736,-19.559672311909996,12,8870.472884889576,0.4,range
3856,3864,1,43043.209090000004,42843.44311000001,-0.004641056840866613,-0.0062410568408666125,-55.361125479961885,8,8815.111759409614,0.6,range
3867,3879,1,42956.8832,42931.1168,-0.0005998200539836455,-0.0021998200539836456,-19.391659626456327,12,8795.720099783157,0.4,range
3890,3902,1,43095.124659999994,43251.0208,0.003617489013663394,0.002017489013663394,17.745268668570812,12,8813.465368451727,0.4,range
3904,3905,1,43286.08193,43217.031,-0.001595222457686588,-0.003195222457686588,-28.16098247531996,1,8785.304385976408,0.6,trend
3906,3907,-1,43207.034,43285.58178,-0.0018179396438089406,-0.0034179396438089407,-30.027640143757328,1,8755.27674583265,0.6,trend
3915,3916,1,43438.32759,43325.79836000001,-0.0025905516221093727,-0.0041905516221093725,-36.68943916926548,1,8718.587306663385,1.0,range
3919,3926,-1,43271.61462,43462.83494,-0.004419070600421251,-0.0060190706004212505,-52.47779253474347,7,8666.10951412864,0.6,range
3932,3941,-1,43353.29011,43084.82157,0.006192575911051233,0.004592575911051233,39.7997657971191,9,8705.90927992576,0.6,range
3944,3947,-1,42819.35034,42943.8793,-0.0029082402934935163,-0.004508240293493516,-39.24833100726043,3,8666.6609489185,0.8909078089531719,toxic
3955,3957,1,42917.37135,42897.22697,-0.0004693759045892243,-0.0020693759045892243,-17.934579340936324,2,8648.726369577564,0.6,toxic
3958,3964,-1,42885.830389999996,42943.77927,-0.001351236048667392,-0.002951236048667392,-25.524433036957568,6,8623.201936540607,0.6,trend
3966,3978,1,42939.67804,42806.75412,-0.003095596568660278,-0.004695596568660278,-40.49107742408474,12,8582.710859116522,0.6,range
3981,3993,1,42867.25632,42866.1363,-2.612763437998623e-05,-0.0016261276343799863,-13.95658330590257,12,8568.75427581062,0.4,range
4008,4010,1,43114.9306,43067.975730000006,-0.0010890628686294143,-0.0026890628686294144,-23.041918953491862,2,8545.712356857128,0.4,range
4011,4012,1,43145.73984,43068.57555,-0.001788456758098336,-0.003388456758098336,-28.956776788356994,1,8516.755580068771,0.4,trend
4016,4017,-1,42867.23597,42965.68584,-0.0022966227649689245,-0.0038966227649689248,-33.18658367697209,1,8483.5689963918,1.0,trend
