agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1861078,68892.1,0.004,2717583,2717583,1774570336336,false
1861079,68923.8,0.013,2717584,2717584,1774570338569,false
1861080,68936.7,0.047,2717585,2717586,1774570346088,true
1861081,68935.0,0.01,2717587,2717587,1774570346088,true
1861082,68932.8,0.051,2717588,2717588,1774570346088,true
1861083,68946.6,0.004,2717589,2717589,1774570354097,false
1861084,68946.6,0.034,2717590,2717590,1774570362668,false
1861085,68959.2,0.048,2717591,2717593,1774570369878,false
1861086,68960.4,0.005,2717594,2717594,1774570369878,false
1861087,68960.5,0.005,2717595,2717595,1774570369878,false
1861088,68950.5,0.001,2717596,2717596,1774570380551,false
1861089,68948.7,0.005,2717597,2717597,1774570392477,true
1861090,68944.8,0.015,2717598,2717598,1774570392477,true
1861091,68930.8,0.07,2717599,2717599,1774570399813,false
1861092,68937.6,0.07,2717600,2717600,1774570410792,false
1861093,68938.7,0.001,2717601,2717601,1774570410792,false
1861094,68950.9,0.005,2717602,2717602,1774570428036,false
1861095,68952.1,0.02,2717603,2717604,1774570428037,false
1861096,68952.2,0.005,2717605,2717605,1774570428037,false
1861097,68954.8,0.005,2717606,2717606,1774570429624,false
1861098,68949.6,0.07,2717608,2717608,1774570496321,false
1861099,68953.4,0.001,2717609,2717609,1774570496321,false
1861100,68957.9,0.217,2717610,2717610,1774570496321,false
1861101,68963.4,0.001,2717611,2717611,1774570501659,true
1861102,68938.4,0.031,2717612,2717612,1774570519547,true
1861103,68938.4,0.001,2717613,2717613,1774570526748,false
1861104,68939.1,0.007,2717614,2717614,1774570526748,false
1861105,68935.0,0.004,2717615,2717615,1774570534373,true
1861106,68946.1,0.07,2717616,2717616,1774570560395,true
1861107,68937.8,0.07,2717617,2717617,1774570586913,true
1861108,68987.5,0.07,2717618,2717618,1774570712962,true
1861109,68981.1,0.015,2717619,2717619,1774570712962,true
1861110,68976.4,0.005,2717620,2717620,1774570712962,true
1861111,68976.3,0.006,2717621,2717622,1774570712962,true
1861112,68976.1,0.005,2717623,2717623,1774570712962,true
1861113,68976.0,0.014,2717624,2717624,1774570712962,true
1861114,68960.1,0.01,2717625,2717625,1774570743841,true
1861115,68948.7,0.001,2717626,2717626,1774570766005,true
1861116,68948.2,0.07,2717627,2717627,1774570766005,true
1861117,68944.2,0.001,2717628,2717628,1774570766005,true
1861118,68941.9,0.005,2717629,2717629,1774570766005,true
1861119,68941.8,0.006,2717630,2717631,1774570766005,true
1861120,68960.0,0.001,2717632,2717632,1774570786884,true
1861121,68935.5,0.003,2717633,2717633,1774570787305,false
1861122,68921.2,0.034,2717634,2717634,1774570938422,true
1861123,68920.3,0.012,2717635,2717635,1774570946867,true
1861124,68886.6,0.005,2717636,2717636,1774570952864,true
1861125,68852.1,0.001,2717637,2717637,1774570965922,true
1861126,68785.0,0.001,2717638,2717638,1774570975160,true
1861127,68786.7,0.001,2717639,2717639,1774570981183,true
1861128,68779.7,0.01,2717640,2717640,1774571037659,false
1861129,68825.0,0.007,2717641,2717641,1774571241557,false
1861130,68767.3,0.001,2717642,2717642,1774571668732,false
1861131,68774.2,0.001,2717643,2717643,1774571685684,false
1861132,68691.5,0.001,2717644,2717644,1774571751113,true
1861133,68686.0,0.01,2717645,2717645,1774571755177,true
1861134,68683.2,0.035,2717646,2717646,1774571805033,false
1861135,68669.4,0.004,2717647,2717647,1774571807822,true
1861136,68660.7,0.001,2717648,2717648,1774571821501,true
1861137,68619.9,0.001,2717649,2717649,1774571863085,true
1861138,68611.6,0.005,2717650,2717650,1774571864518,true
1861139,68611.6,0.005,2717651,2717651,1774571864655,true
1861140,68600.0,0.008,2717652,2717654,1774571868726,true
1861141,68583.0,0.001,2717655,2717655,1774571868733,true
1861142,68576.1,0.001,2717656,2717656,1774571868734,true
1861143,68568.3,0.001,2717657,2717657,1774571868746,true
1861144,68568.0,0.001,2717658,2717658,1774571868746,true
1861145,68557.5,0.002,2717659,2717659,1774571868746,true
1861146,68555.4,0.001,2717660,2717660,1774571868761,true
1861147,68560.8,0.014,2717661,2717662,1774571871062,true
1861148,68560.7,0.014,2717663,2717663,1774571871062,true
1861149,68566.0,0.001,2717664,2717664,1774571881821,true
1861150,68622.4,0.001,2717665,2717665,1774571947754,false
1861151,68629.3,0.013,2717666,2717667,1774571947754,false
1861152,68631.8,0.002,2717668,2717668,1774572018210,true
1861153,68632.0,0.001,2717669,2717669,1774572027107,true
1861154,68687.2,0.005,2717670,2717671,1774572038867,false
1861155,68687.9,0.005,2717672,2717672,1774572038868,false
1861156,68688.4,0.005,2717673,2717673,1774572038868,false
1861157,68714.1,0.001,2717674,2717674,1774572040793,true
1861158,68753.5,0.001,2717675,2717675,1774572041308,false
1861159,68760.4,0.001,2717676,2717676,1774572041312,false
1861160,68764.5,0.001,2717677,2717677,1774572041312,false
1861161,68767.4,0.001,2717678,2717678,1774572080660,true
1861162,68786.8,0.07,2717679,2717679,1774572190664,true
1861163,68771.1,0.007,2717680,2717680,1774572194694,true
1861164,68737.3,0.035,2717681,2717681,1774572247278,true
1861165,68719.6,0.001,2717682,2717682,1774572263714,true
1861166,68739.7,0.001,2717683,2717683,1774572287165,false
1861167,68705.4,0.001,2717684,2717684,1774572300576,false
1861168,68707.2,0.005,2717685,2717685,1774572328921,true
1861169,68644.0,0.001,2717686,2717686,1774572361334,true
1861170,68668.7,0.018,2717687,2717687,1774572384560,false
1861171,68670.7,0.003,2717688,2717689,1774572600564,false
1861172,68680.6,0.07,2717690,2717690,1774572609050,false
1861173,68685.8,0.021,2717691,2717691,1774572609050,false
1861174,68675.5,0.001,2717692,2717692,1774572655564,false
1861175,68696.3,0.001,2717693,2717693,1774572733994,true
1861176,68724.7,0.059,2717694,2717695,1774572766551,false
1861177,68725.2,0.005,2717696,2717696,1774572766551,false
1861178,68725.3,0.005,2717697,2717697,1774572766551,false
1861179,68725.4,0.005,2717698,2717698,1774572766551,false
1861180,68739.4,0.012,2717699,2717699,1774572775121,false
1861181,68748.7,0.07,2717700,2717700,1774572781742,false
1861182,68761.2,0.009,2717701,2717702,1774572782970,false
1861183,68764.2,0.002,2717703,2717704,1774572785453,false
1861184,68768.2,0.005,2717705,2717705,1774572787008,false
1861185,68772.2,0.07,2717706,2717706,1774572787008,false
1861186,68773.7,0.002,2717707,2717707,1774572798258,false
1861187,68763.3,0.005,2717708,2717708,1774572827734,true
1861188,68763.1,0.005,2717709,2717709,1774572827734,true
1861189,68762.9,0.005,2717710,2717710,1774572827734,true
1861190,68793.2,0.07,2717711,2717711,1774572981728,true
1861191,68846.4,0.07,2717712,2717712,1774573256410,true
1861192,68844.9,0.001,2717713,2717713,1774573258202,false
1861193,68837.9,0.001,2717714,2717714,1774573261057,true
1861194,68848.9,0.001,2717715,2717715,1774573265424,false
1861195,68851.6,0.001,2717716,2717716,1774573267920,true
1861196,68805.5,0.014,2717717,2717717,1774573299668,true
1861197,68840.8,0.003,2717718,2717718,1774573329661,false
1861198,68840.8,0.001,2717719,2717719,1774573330175,false
1861199,68822.4,0.005,2717720,2717720,1774573427217,false
1861200,68827.6,0.005,2717721,2717721,1774573488792,false
1861201,68833.9,0.07,2717722,2717722,1774573492181,true
1861202,68812.8,0.217,2717723,2717723,1774573494448,true
1861203,68807.2,0.035,2717724,2717724,1774573494448,true
1861204,68805.2,0.001,2717725,2717725,1774573498065,true
1861205,68805.1,0.005,2717726,2717726,1774573498065,true
1861206,68803.9,0.001,2717727,2717727,1774573501289,true
1861207,68803.9,0.004,2717728,2717728,1774573555391,true
1861208,68803.8,0.005,2717729,2717729,1774573555391,true
1861209,68781.0,0.001,2717730,2717730,1774573572849,true
1861210,68780.2,0.07,2717731,2717731,1774573572849,true
1861211,68773.3,0.006,2717732,2717732,1774573572849,true
1861212,68758.5,0.07,2717733,2717733,1774573687328,true
1861213,68725.9,0.07,2717734,2717734,1774573720953,true
1861214,68746.6,0.001,2717735,2717735,1774573751277,false
1861215,68759.8,0.07,2717736,2717736,1774573766172,false
1861216,68843.1,0.005,2717737,2717737,1774573800334,false
1861217,68826.2,0.001,2717738,2717738,1774573801095,true
1861218,68843.1,0.009,2717739,2717739,1774573806650,true
1861219,68879.2,0.07,2717740,2717740,1774573836379,true
1861220,68900.3,0.001,2717741,2717741,1774573839740,false
1861221,68886.6,0.031,2717742,2717742,1774573862069,false
1861222,68883.2,0.001,2717743,2717743,1774573921347,false
1861223,68896.8,0.005,2717744,2717744,1774573990317,false
1861224,68897.4,0.005,2717745,2717745,1774573990317,false
1861225,68900.3,0.003,2717746,2717746,1774573990317,false
1861226,68893.6,0.026,2717747,2717747,1774574009791,false
1861227,68886.6,0.005,2717748,2717748,1774574049686,true
1861228,68884.5,0.005,2717749,2717749,1774574049686,true
1861229,68882.1,0.005,2717750,2717750,1774574050760,true
1861230,68910.5,0.003,2717751,2717751,1774574219580,true
1861231,68953.3,0.003,2717752,2717752,1774574259184,false
1861232,68904.5,0.217,2717753,2717753,1774574317482,true
1861233,68890.3,0.002,2717754,2717755,1774574395141,false
1861234,68872.0,0.07,2717756,2717756,1774574513781,true
1861235,68860.1,0.005,2717757,2717757,1774574513793,true
1861236,68859.1,0.005,2717758,2717758,1774574513793,true
1861237,68877.6,0.036,2717759,2717760,1774574533575,false
1861238,68877.7,0.005,2717761,2717761,1774574533575,false
1861239,68881.9,0.001,2717762,2717762,1774574536858,false
1861240,68881.9,0.002,2717763,2717763,1774574537210,false
1861241,68881.9,0.002,2717764,2717764,1774574538680,false
1861242,68908.3,0.001,2717765,2717765,1774574543652,false
1861243,68974.2,0.002,2717766,2717766,1774574733164,false
1861244,68962.9,0.034,2717767,2717767,1774574754705,true
1861245,68955.7,0.001,2717768,2717768,1774574755884,true
1861246,68949.6,0.035,2717769,2717769,1774574886133,true
1861247,68949.1,0.005,2717770,2717770,1774574886133,true
1861248,68948.8,0.005,2717771,2717771,1774574886133,true
1861249,68948.7,0.005,2717772,2717772,1774574886133,true
1861250,68944.5,0.001,2717773,2717773,1774575022337,false
1861251,68947.0,0.001,2717774,2717774,1774575121187,true
1861252,68929.7,0.001,2717775,2717775,1774575214856,false
1861253,68934.9,0.001,2717776,2717776,1774575241812,true
1861254,68908.7,0.01,2717777,2717777,1774575326500,false
1861255,68908.8,0.04,2717778,2717778,1774575326500,false
1861256,68902.8,0.009,2717779,2717779,1774575350974,false
1861257,68916.5,0.04,2717780,2717781,1774575408562,false
