timestamp,percentage,depth,notional
2026-03-27 00:03:32,-1.00,61.25700000,4198098.48050000
2026-03-27 00:03:32,-0.20,7.57900000,520738.15620000
2026-03-27 00:03:32,0.20,6.60400000,454963.03390000
2026-03-27 00:03:32,1.00,59.14000000,4085135.26350000
2026-03-27 00:03:32,2.00,67.83500000,4692545.58110000
2026-03-27 00:03:32,3.00,77.03000000,5341876.35900000
2026-03-27 00:03:32,4.00,79.47700000,5516197.51770000
2026-03-27 00:03:32,5.00,79.83700000,5542093.32830000
2026-03-27 00:04:00,-5.00,88.73300000,6046637.45980000
2026-03-27 00:04:00,-4.00,88.11200000,6005879.86000000
2026-03-27 00:04:00,-3.00,82.09500000,5605180.77360000
2026-03-27 00:04:00,-2.00,75.64000000,5172181.65170000
2026-03-27 00:04:00,-1.00,61.47900000,4213718.21270000
2026-03-27 00:04:00,-0.20,5.62500000,386676.68120000
2026-03-27 00:04:00,0.20,7.04000000,485189.18640000
2026-03-27 00:04:00,1.00,58.67200000,4053275.38570000
2026-03-27 00:04:00,2.00,67.59200000,4676476.22270000
2026-03-27 00:04:00,3.00,76.56000000,5309877.47990000
2026-03-27 00:04:00,4.00,79.00800000,5484270.21000000
2026-03-27 00:04:00,5.00,79.36700000,5510094.44920000
2026-03-27 00:06:00,-5.00,87.68000000,5976113.29060000
2026-03-27 00:06:00,-4.00,87.05900000,5935355.69080000
2026-03-27 00:06:00,-3.00,81.93300000,5594108.93580000
2026-03-27 00:06:00,-2.00,74.58500000,5101396.01570000
2026-03-27 00:06:00,-1.00,60.42700000,4143109.81330000
2026-03-27 00:06:00,-0.20,6.40400000,440369.54610000
2026-03-27 00:06:00,0.20,6.94100000,478548.92990000
2026-03-27 00:06:00,1.00,55.92800000,3866277.84860000
2026-03-27 00:06:00,2.00,65.30500000,4521602.66740000
2026-03-27 00:06:00,3.00,73.81800000,5123069.43790000
2026-03-27 00:06:00,4.00,76.27400000,5298034.80800000
2026-03-27 00:06:00,5.00,76.83300000,5338320.65290000
2026-03-27 00:06:32,-5.00,88.40900000,6027777.28650000
2026-03-27 00:06:32,-4.00,87.78300000,5986664.00210000
2026-03-27 00:06:32,-3.00,82.66500000,5645946.04710000
2026-03-27 00:06:32,-2.00,75.31700000,5153191.97200000
2026-03-27 00:06:32,-1.00,61.15900000,4194894.28820000
2026-03-27 00:06:32,-0.20,5.70500000,392415.05100000
2026-03-27 00:06:32,0.20,7.10500000,489864.98130000
2026-03-27 00:06:32,1.00,59.38800000,4105001.31950000
2026-03-27 00:06:32,2.00,68.94400000,4772922.28390000
2026-03-27 00:06:32,3.00,77.25900000,5360524.29020000
2026-03-27 00:06:32,4.00,79.71500000,5535489.66030000
2026-03-27 00:06:32,5.00,80.28000000,5576209.30520000
2026-03-27 00:07:00,-5.00,68.90900000,4691108.31540000
2026-03-27 00:07:00,-4.00,68.27500000,4649466.14300000
2026-03-27 00:07:00,-3.00,62.57300000,4269727.15440000
2026-03-27 00:07:00,-2.00,50.81600000,3479015.50100000
2026-03-27 00:07:00,-1.00,41.51300000,2848229.73680000
2026-03-27 00:07:00,-0.20,10.97400000,754731.05410000
2026-03-27 00:07:00,0.20,6.63400000,457497.25350000
2026-03-27 00:07:00,1.00,40.72700000,2815204.19490000
2026-03-27 00:07:00,2.00,50.73600000,3514947.49970000
2026-03-27 00:07:00,3.00,58.59800000,4070727.16560000
2026-03-27 00:07:00,4.00,61.05400000,4245692.53570000
2026-03-27 00:07:00,5.00,61.61900000,4286412.18060000
2026-03-27 00:07:32,-5.00,89.46600000,6102720.74000000
2026-03-27 00:07:32,-4.00,88.83200000,6061078.56760000
2026-03-27 00:07:32,-3.00,83.84900000,5729228.41340000
2026-03-27 00:07:32,-2.00,71.17400000,4876860.36770000
2026-03-27 00:07:32,-1.00,62.22000000,4269530.76270000
2026-03-27 00:07:32,-0.20,7.41500000,510138.52200000
2026-03-27 00:07:32,0.20,7.21700000,497815.76290000
