bar_idx,ts_ms,close,action,confidence,state,regime,ofi_z,hawkes,prob_above,prob_below
102,1701397320000,39033.9,HOLD,0.0,NORMAL,RANGING,-0.1634,0.2,0.5,0.5
103,1701397380000,39033.4,HOLD,0.0,NORMAL,RANGING,-0.1975,0.8,0.5,0.5
104,1701397440000,39027.2,HOLD,0.0,NORMAL,RANGING,-1.0821,0.5,0.5,0.5
105,1701397560000,39032.9,HOLD,0.0,NORMAL,RANGING,0.7157,0.2,0.5,0.5
106,1701397620000,39033.9,HOLD,0.0,NORMAL,RANGING,-0.1926,0.1,0.5,0.5
107,1701397980000,39029.2,HOLD,0.0,NORMAL,RANGING,2.0381,0.2,0.5,0.5
108,1701398040000,39040.0,SELL,0.5578,PRE_SWEEP_BUILDUP,RANGING,-0.2218,1.3,0.4167,0.5833
109,1701398100000,39048.6,HOLD,0.0,NORMAL,RANGING,0.3625,0.4,0.5,0.5
110,1701398160000,39067.7,HOLD,0.0,NORMAL,RANGING,1.8459,0.5,0.5,0.5
111,1701398280000,39063.1,HOLD,0.0,NORMAL,RANGING,-2.178,0.1,0.5,0.5
112,1701398340000,39065.7,HOLD,0.0,NORMAL,RANGING,2.1789,0.3,0.5,0.5
113,1701398520000,39067.7,HOLD,0.0,NORMAL,RANGING,2.392,0.2,0.5,0.5
117,1701398820000,39160.5,HOLD,0.0,NORMAL,RANGING,-0.2705,1.0,0.5,0.5
118,1701398880000,39151.8,HOLD,0.0,NORMAL,RANGING,1.8038,0.1,0.5,0.5
123,1701399180000,39240.3,HOLD,0.0,NORMAL,UPTREND,-0.2977,1.2,0.5,0.5
124,1701399240000,39219.1,HOLD,0.0,NORMAL,UPTREND,-0.8466,0.1,0.5,0.5
125,1701399300000,39168.4,HOLD,0.0,NORMAL,UPTREND,-0.4534,1.2,0.5,0.5
126,1701399420000,39145.3,HOLD,0.0,NORMAL,RANGING,-0.3154,1.2,0.5,0.5
127,1701399540000,39125.5,HOLD,0.0,NORMAL,RANGING,-0.3056,0.4,0.5,0.5
128,1701399600000,39136.2,HOLD,0.0,NORMAL,RANGING,2.1361,0.4,0.5,0.5
129,1701399720000,39136.4,HOLD,0.0,NORMAL,RANGING,-2.5642,0.1,0.5,0.5
130,1701399780000,39129.6,HOLD,0.0,NORMAL,RANGING,-0.1014,1.7,0.5,0.5
131,1701399840000,39145.1,HOLD,0.0,NORMAL,RANGING,-0.2234,0.6,0.5,0.5
132,1701399960000,39128.7,HOLD,0.0,NORMAL,RANGING,-0.2893,0.2,0.5,0.5
133,1701400020000,39112.9,HOLD,0.0,NORMAL,RANGING,-0.2164,0.4,0.5,0.5
134,1701400080000,39104.1,HOLD,0.0,NORMAL,RANGING,-0.2956,0.4,0.5,0.5
135,1701400140000,39116.8,HOLD,0.0,NORMAL,RANGING,-0.2656,0.3,0.5,0.5
136,1701400200000,39100.8,HOLD,0.0,NORMAL,RANGING,-0.2214,0.2,0.5,0.5
137,1701400260000,39117.0,HOLD,0.0,NORMAL,RANGING,-0.1417,0.7,0.5,0.5
