bar_idx,ts_ms,price,allow_trade,direction,confidence,alpha_dir,alpha_conf,alpha_pa,alpha_pb,smc_sig,smc_conf,market_state,substate,regime_type,regime_conf,spread_pct,imbalance,ofp,ofp_pressure,institutional_score,ai_score,confluence_score,ob_score,cascade_probability,fvg_exists,open_interest_missing,reason,violations
60,1701393960000,38970.0,False,SHORT,0.19,NEUTRAL,0.428,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000174,0.995536,0.928545,0.928545,1.9,-1.0,5.076,0.8785,0.0,True,True,open_interest_missing,
61,1701394020000,38980.6,False,SHORT,0.19,NEUTRAL,0.3971,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,8e-06,0.285714,0.722628,0.722628,1.9,-1.0,3.8359,0.8916,0.0,True,True,open_interest_missing,
62,1701394080000,39014.3,False,LONG,0.23,NEUTRAL,0.35597,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000536,0.992674,-0.117526,-0.117526,2.3,1.0,4.8027,0.7681,0.0,True,True,open_interest_missing,
63,1701394140000,39019.7,False,LONG,0.18,NEUTRAL,0.327179,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,3e-06,0.968,-0.155628,-0.155628,1.8,1.0,4.8558,0.7771,0.0,True,True,open_interest_missing,
64,1701394200000,39053.5,False,LONG,0.23,NEUTRAL,0.326525,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000151,-0.5,-0.001232,-0.001232,2.3,1.0,3.831,0.7323,0.0,True,True,open_interest_missing,
65,1701394260000,39053.2,False,HOLD,0.07,NEUTRAL,0.326068,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000312,-0.555556,-0.844444,-0.844444,0.7,0.0,3.9723,0.8038,0.0,True,True,open_interest_missing,
66,1701394320000,39050.0,False,LONG,0.19,NEUTRAL,0.325747,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000315,-0.904762,-0.938981,-0.938981,1.9,1.0,4.0257,0.7953,0.0,True,True,open_interest_missing,
67,1701394380000,39019.6,False,LONG,0.28,NEUTRAL,0.306023,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,1.3e-05,0.978094,-0.215593,-0.215593,2.8,1.0,3.9931,0.7755,0.0,True,True,open_interest_missing,
68,1701394440000,39020.0,False,HOLD,0.07,NEUTRAL,0.292216,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000431,0.935484,0.327572,0.327572,0.7,0.0,2.4438,0.6788,0.0,True,True,open_interest_missing,
69,1701394500000,39055.6,False,HOLD,0.11,NEUTRAL,0.302051,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000586,-0.5,0.453326,0.453326,1.1,0.0,4.0796,0.8722,0.0,True,True,open_interest_missing,
70,1701394560000,39078.5,False,LONG,0.18,NEUTRAL,0.308936,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000448,-0.5,0.366677,0.366677,1.8,1.0,3.9484,0.8455,0.0,True,True,open_interest_missing,
71,1701394620000,39087.9,False,LONG,0.16,NEUTRAL,0.294255,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000243,-0.753425,0.294747,0.294747,1.6,1.0,4.9055,0.9464,0.0,True,True,open_interest_missing,
72,1701394680000,39065.1,False,HOLD,0.07,NEUTRAL,0.283979,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.00021,-0.710843,-0.80591,-0.80591,0.7,0.0,3.873,0.7752,0.0,True,True,open_interest_missing,
73,1701394740000,39078.5,False,HOLD,0.07,NEUTRAL,0.296285,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000343,-0.714286,-0.574991,-0.574991,0.7,0.0,3.397,0.7038,0.0,True,True,open_interest_missing,
74,1701394800000,39100.0,False,HOLD,0.07,NEUTRAL,0.2854,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,3e-06,0.995789,0.998526,0.998526,0.7,0.0,4.3212,0.9717,0.0,True,True,open_interest_missing,
75,1701394860000,39095.5,False,HOLD,0.05,NEUTRAL,0.29728,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000225,0.0,0.65,0.65,0.5,0.0,3.7911,0.9751,0.0,True,True,open_interest_missing,
76,1701394920000,39071.1,False,HOLD,0.07,NEUTRAL,0.305596,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000264,-0.894737,-0.963158,-0.963158,0.7,0.0,3.1513,0.8986,0.0,True,True,open_interest_missing,
77,1701394980000,39078.2,False,HOLD,0.07,NEUTRAL,0.291917,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,1.8e-05,-0.953488,-0.683583,-0.683583,0.7,0.0,3.5456,0.8005,0.0,True,True,open_interest_missing,
78,1701395040000,39072.7,False,HOLD,0.16,NEUTRAL,0.282342,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.000325,-0.877551,0.072094,0.072094,1.6,0.0,2.6433,0.8886,0.0,True,True,open_interest_missing,
79,1701395100000,39046.6,False,SHORT,0.12,NEUTRAL,0.295139,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,manipulation,0.9251,0.000515,0.0,-0.65,-0.65,1.2,-1.0,2.7208,0.575,0.0,False,True,open_interest_missing,
80,1701395160000,39039.9,False,SHORT,0.07,NEUTRAL,0.304098,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,manipulation,0.9251,0.00051,-0.75,-0.605638,-0.605638,0.7,-1.0,2.2114,0.4843,0.0,False,True,open_interest_missing,
81,1701395220000,39032.9,False,HOLD,0.07,NEUTRAL,0.310368,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,manipulation,0.9251,0.000182,-0.333333,-0.766667,-0.766667,0.7,0.0,2.8303,0.575,0.0,False,True,open_interest_missing,
82,1701395280000,39006.8,False,SHORT,0.07,NEUTRAL,0.314758,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,manipulation,0.9251,0.000185,-0.75,-0.877346,-0.877346,0.7,-1.0,2.8715,0.5702,0.0,False,True,open_interest_missing,
83,1701395460000,39044.3,False,HOLD,0.07,NEUTRAL,0.31783,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,manipulation,0.9251,0.000371,0.666667,0.398364,0.398364,0.7,0.0,2.8604,0.5008,0.0,False,True,open_interest_missing,
84,1701395520000,39080.8,False,LONG,0.14,NEUTRAL,0.300481,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,manipulation,0.9251,8e-06,0.942308,0.524869,0.524869,1.4,1.0,3.0636,0.5936,0.0,False,True,open_interest_missing,
